ID,date,SID,comic_name,source,filemask,type,destination,path,filename
,,6,Color Me Posh,sunday_comics/color_me_posh,cmp%symd%.comb_qs_Vacation.tif,Sunday Color,/%dS%/,,cmp%symd%_qs.tif
,,6,Baldo Sunday Spanish,Sunday_Comics/Baldo_Spanish_Sunday,basp%symd%.tsc_Vacation.tif,Sunday Color,/%dS%/,,basp%symd%.tsc.tif
,,6,Baldo Sunday Spanish,Sunday_Comics/Baldo_Spanish_Sunday,basp%symd%.qsl_Vacation.tif,Sunday Color,/%dS%/,,basp%symd%.qsl.tif
,,6,Baldo Sunday Spanish,Sunday_Comics/Baldo_Spanish_Sunday,basp%symd%.tsl_Vacation.tif,Sunday Color,/%dS%/,,basp%symd%.tsl.tif
,,6,Color Me Posh,sunday_comics/color_me_posh,cmp%symd%comb_ht_Vacation.tif,Sunday Color,/%dS%/,,cmp%ds_ht.tif
,,6,Color Me Posh,Sunday_Comics/color_me_posh,cmp%symd%tsk_Vacation.tif,Sunday Color,/%dS%/,,cmp%symd%_tsk.tif
,,6,Adam,Sunday_Comics/Adam/,ad%symd%comb_hs_Vacation.tif,Sunday Color,/%dS%/,,adm%sW%comb_hs.tif
,,6,Adam,Sunday_Comics/Adam/,ad%symd%comb_qs_Vacation.tif,Sunday Color,/%dS%/,,adm%sW%comb_qs.tif
,,6,Adam,Sunday_Comics/Adam/,ad%symd%comb_ts_Vacation.tif,Sunday Color,/%dS%/,,adm%sW%comb_ts.tif
,,6,Adam,Sunday_Comics/Adam/,ad%symd%hsc_Vacation.tif,Sunday Color,/%dS%/,,adm%sW%hsc.tif
,,6,Adam,Sunday_Comics/Adam/,ad%symd%hsl_Vacation.tif,Sunday Color,/%dS%/,,adm%sW%hsl.tif
,,6,Adam,Sunday_Comics/Adam/,ad%symd%qsc_Vacation.tif,Sunday Color,/%dS%/,,adm%sW%qsc.tif
,,6,Adam,Sunday_Comics/Adam/,ad%symd%qsl_Vacation.tif,Sunday Color,/%dS%/,,adm%sW%qsl.tif
,,6,Adam,Sunday_Comics/Adam/,ad%symd%tsc_Vacation.tif,Sunday Color,/%dS%/,,adm%sW%tsc.tif
,,6,Adam,Sunday_Comics/Adam/,ad%symd%tsl_Vacation.tif,Sunday Color,/%dS%/,,adm%sW%tsl.tif
,,6,Argyle Sweater,Sunday_Comics/Argyle_Sweater_Sunday/,tas%symd%comb_qs_Vacation.tif,Sunday Color,/%dS%/,,asw%sW%qscmyk.tif
,,6,Argyle Sweater,Sunday_Comics/Argyle_Sweater_Sunday/,tas%symd%comb_ts_Vacation.tif,Sunday Color,/%dS%/,,asw%sW%tscmyk.tif
,,6,Argyle Sweater,Sunday_Comics/Argyle_Sweater_Sunday/,tas%symd%qsc_Vacation.tif,Sunday Color,/%dS%/,,asw%sW%qsc.tif
,,6,Argyle Sweater,Sunday_Comics/Argyle_Sweater_Sunday/,tas%symd%qsl_Vacation.tif,Sunday Color,/%dS%/,,asw%sW%qsl.tif
,,6,Argyle Sweater,Sunday_Comics/Argyle_Sweater_Sunday/,tas%symd%tsc_Vacation.tif,Sunday Color,/%dS%/,,asw%sW%tsc.tif
,,6,Argyle Sweater,Sunday_Comics/Argyle_Sweater_Sunday/,tas%symd%tsl_Vacation.tif,Sunday Color,/%dS%/,,asw%sW%tsl.tif
,,6,Baldo,Sunday_Comics/Baldo_Sunday/,ba%symd%comb_qs_Vacation.tif,Sunday Color,/%dS%/,,bal%sW%qscmyk.tif
,,6,Baldo,Sunday_Comics/Baldo_Sunday/,ba%symd%comb_ts_Vacation.tif,Sunday Color,/%dS%/,,bal%sW%tscmyk.tif
,,6,Baldo,Sunday_Comics/Baldo_Sunday/,ba%symd%qsc_Vacation.tif,Sunday Color,/%dS%/,,bal%sW%qsc.tif
,,6,Baldo,Sunday_Comics/Baldo_Sunday/,ba%symd%qsl_Vacation.tif,Sunday Color,/%dS%/,,bal%sW%qsl.tif
,,6,Baldo,Sunday_Comics/Baldo_Sunday/,ba%symd%tsc_Vacation.tif,Sunday Color,/%dS%/,,bal%sW%tsc.tif
,,6,Baldo,Sunday_Comics/Baldo_Sunday/,ba%symd%tsl_Vacation.tif,Sunday Color,/%dS%/,,bal%sW%tsl.tif
,,6,Bleachers,Sunday_Comics/Bleachers_Sunday/,bl%symd%comb_qs_Vacation.tif,Sunday Color,/%dS%/,,blc%sW%comb_qs.tif
,,6,Bleachers,Sunday_Comics/Bleachers_Sunday/,bl%symd%comb_ts_Vacation.tif,Sunday Color,/%dS%/,,blc%sW%comb_ts.tif
,,6,Bleachers,Sunday_Comics/Bleachers_Sunday/,bl%symd%qsc_Vacation.tif,Sunday Color,/%dS%/,,blc%sW%qsc.tif
,,6,Bleachers,Sunday_Comics/Bleachers_Sunday/,bl%symd%qsl_Vacation.tif,Sunday Color,/%dS%/,,blc%sW%qsl.tif
,,6,Bleachers,Sunday_Comics/Bleachers_Sunday/,bl%symd%tsc_Vacation.tif,Sunday Color,/%dS%/,,blc%sW%tsc.tif
,,6,Bleachers,Sunday_Comics/Bleachers_Sunday/,bl%symd%tsl_Vacation.tif,Sunday Color,/%dS%/,,blc%sW%tsl.tif
,,6,Breaking Cat News,Sunday_Comics/Breaking_Cat_News_Sundays/,bcn%symd%comb_qs_Vacation.tif,Sunday Color,/%dS%/,,bcn%sW%comb_qs.tif
,,6,Breaking Cat News,Sunday_Comics/Breaking_Cat_News_Sundays/,bcn%symd%comb_ts_Vacation.tif,Sunday Color,/%dS%/,,bcn%sW%comb_ts.tif
,,6,Calvin,Sunday_Comics/Calvin/,ch%symd%hsc_Vacation.tif,Sunday Color,/%dS%/,,ch%sW%hsc.tif
,,6,Calvin,Sunday_Comics/Calvin/,ch%symd%hsl_Vacation.tif,Sunday Color,/%dS%/,,ch%sW%hsl.tif
,,6,Close to Home,Sunday_Comics/Close_to_Home/,cth%symd%comb_qs_Vacation.tif,Sunday Color,/%dS%/,,cls%sW%qscmyk.tif
,,6,Close to Home,Sunday_Comics/Close_to_Home/,cth%symd%comb_ts_Vacation.tif,Sunday Color,/%dS%/,,cls%sW%tscmyk.tif
,,6,Close to Home,Sunday_Comics/Close_to_Home/,cth%symd%qsc_Vacation.tif,Sunday Color,/%dS%/,,cls%sW%qsc.tif
,,6,Close to Home,Sunday_Comics/Close_to_Home/,cth%symd%qsl_Vacation.tif,Sunday Color,/%dS%/,,cls%sW%qsl.tif
,,6,Close to Home,Sunday_Comics/Close_to_Home/,cth%symd%tsc_Vacation.tif,Sunday Color,/%dS%/,,cls%sW%tsc.tif
,,6,Close to Home,Sunday_Comics/Close_to_Home/,cth%symd%tsl_Vacation.tif,Sunday Color,/%dS%/,,cls%sW%tsl.tif
,,6,Color Me Posh,Sunday_Comics/Color_Me_Posh/,cmp%symd%comb_ht_Vacation.tif,Sunday Color,/%dS%/,,cmp%sW%comb_ht.tif
,,6,Color Me Posh,Sunday_Comics/Color_Me_Posh/,cmp%symd%comb_qs_Vacation.tif,Sunday Color,/%dS%/,,cmp%sW%comb_qs.tif
,,6,Color Me Posh,Sunday_Comics/Color_Me_Posh/,cmp%symd%htc_Vacation.tif,Sunday Color,/%dS%/,,cmp%sW%htc.tif
,,6,Color Me Posh,Sunday_Comics/Color_Me_Posh/,cmp%symd%htl_Vacation.tif,Sunday Color,/%dS%/,,cmp%sW%htl.tif
,,6,Color Me Posh,Sunday_Comics/Color_Me_Posh/,cmp%symd%qsc_Vacation.tif,Sunday Color,/%dS%/,,cmp%sW%qsc.tif
,,6,Color Me Posh,Sunday_Comics/Color_Me_Posh/,cmp%symd%qsl_Vacation.tif,Sunday Color,/%dS%/,,cmp%sW%qsl.tif
,,6,Color Me Posh,Sunday_Comics/Color_Me_Posh/,cmp%symd%tsk_Vacation.tif,Sunday Color,/%dS%/,,cmp%sW%tsk.tif
,,6,Cornered,Sunday_Comics/Cornered_Sunday/,cos_c%symd%_Vacation.tif,Sunday Color,/%dS%/,,cor_c%sW%.tif
,,6,Cornered,Sunday_Comics/Cornered_Sunday/,cos_c%symd%.pdf,Sunday Color,/%dS%/,,cor_c%sW%.pdf
,,6,Deflocked,Sunday_Comics/Deflocked_Sundays/,dft%symd%comb_qs_Vacation.tif,Sunday Color,/%dS%/,,def%sW%qscmyk.tif
,,6,Deflocked,Sunday_Comics/Deflocked_Sundays/,dft%symd%comb_ts_Vacation.tif,Sunday Color,/%dS%/,,def%sW%tscmyk.tif
,,6,Deflocked,Sunday_Comics/Deflocked_Sundays/,dft%symd%qsc_Vacation.tif,Sunday Color,/%dS%/,,def%sW%qsc.tif
,,6,Deflocked,Sunday_Comics/Deflocked_Sundays/,dft%symd%qsl_Vacation.tif,Sunday Color,/%dS%/,,def%sW%qsl.tif
,,6,Deflocked,Sunday_Comics/Deflocked_Sundays/,dft%symd%tsc_Vacation.tif,Sunday Color,/%dS%/,,def%sW%tsc.tif
,,6,Deflocked,Sunday_Comics/Deflocked_Sundays/,dft%symd%tsl_Vacation.tif,Sunday Color,/%dS%/,,def%sW%tsl.tif
,,6,Dilbert,Sunday_Comics/Dilbert_Sunday/,dt%symd%comb_ft.pdf,Sunday Color,/%dS%/,,dt%sW%comb_ft.pdf
,,6,Dilbert,Sunday_Comics/Dilbert_Sunday/,dt%symd%comb_ft_Vacation.tif,Sunday Color,/%dS%/,,dt%sW%comb_ft.tif
,,6,Dilbert,Sunday_Comics/Dilbert_Sunday/,dt%symd%comb_ht_Vacation.tif,Sunday Color,/%dS%/,,dt%sW%comb_ht.tif
,,6,Dilbert,Sunday_Comics/Dilbert_Sunday/,dt%symd%comb_lv_Vacation.tif,Sunday Color,/%dS%/,,dt%sW%comb_lv.tif
,,6,Dilbert,Sunday_Comics/Dilbert_Sunday/,dt%symd%comb_qs.pdf,Sunday Color,/%dS%/,,dt%sW%comb_qs.pdf
,,6,Dilbert,Sunday_Comics/Dilbert_Sunday/,dt%symd%comb_qs_Vacation.tif,Sunday Color,/%dS%/,,dt%sW%comb_qs.tif
,,6,Dilbert,Sunday_Comics/Dilbert_Sunday/,dt%symd%comb_ts_Vacation.tif,Sunday Color,/%dS%/,,dt%sW%comb_ts.tif
,,6,Dilbert,Sunday_Comics/Dilbert_Sunday/,dt%symd%ftc_Vacation.tif,Sunday Color,/%dS%/,,dt%sW%ftc.tif
,,6,Dilbert,Sunday_Comics/Dilbert_Sunday/,dt%symd%ftl_Vacation.tif,Sunday Color,/%dS%/,,dt%sW%ftl.tif
